session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61a512173023d0ec5e0f0cfa,60a4cdac76e243fd17f24fbf,RETURNED,2021-11-29 17:47:10.870000,,2909.978135,26,63,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a51263530e336735f82db2,5a68c9f563394a000155cbe5,APPROVED,2021-11-29 17:48:25.053000,2021-11-29 17:54:38.562000,373.509,61,258,1,100,2021-11-29 18:21:35.011000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
61a5127686e2ab3017ee5865,60b7a01b6e132a6ed8c92b8d,APPROVED,2021-11-29 17:48:38.230000,2021-11-29 17:53:35.893000,297.663,25,72,0,100,2021-11-29 17:53:51.009000,68706EF5,Zimbabwe,South Africa,DATA EXPIRED,English,Zimbabwe,Female,Yes
61a51305c64e01a688f398a2,5afde9de3eb22c00019bb6e3,APPROVED,2021-11-29 17:51:14.925000,2021-11-29 17:55:56.049000,281.124,60,747,5,100,2021-11-29 18:21:34.924000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61a5130b9bc63c7f6fa5cac8,60d071b0a972d9c8a2eb11fd,RETURNED,2021-11-29 18:01:07.855000,,2073.106771,21,79,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a51317237b8f77335581fa,60fd43be7a0dec9d13806f6a,APPROVED,2021-11-29 17:51:21.936000,2021-11-29 17:55:27.507000,245.571,19,72,1,100,2021-11-29 18:21:34.836000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61a51347309a90a62d4c41e0,602044c8c8de0361eee66834,APPROVED,2021-11-29 17:52:14.242000,2021-11-29 17:58:41.929000,387.687,44,85,0,100,2021-11-29 18:21:34.735000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a5134f7db452e72802638e,5d3ef27c5c79a10001f817a6,RETURNED,2021-11-29 17:54:30.362000,,2470.659747,34,521,7,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a51386dacfd064dc05df49,60fccfe8530898dbd913d3c7,APPROVED,2021-11-29 17:53:15.153000,2021-11-29 17:55:09.957000,114.804,35,112,0,100,2021-11-29 18:21:34.642000,68706EF5,United States,United States,Unemployed (and job seeking),English,United States,Female,No
61a5139de4c8221965dce7fb,5d2a2d08ec09020018360c02,APPROVED,2021-11-29 17:53:38.857000,2021-11-29 17:57:04.627000,205.77,23,134,0,100,2021-11-29 18:21:34.459000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a5139e3667695460c771d8,60fdc806eacd670ff98231f1,APPROVED,2021-11-29 17:53:36.365000,2021-11-29 17:55:38.660000,122.295,20,62,2,97,2021-11-29 18:21:34.557000,68706EF5,United States,United States,Other,English,United States,Female,Yes
61a513ac9e49155a7556a4ea,60af93df5b5879e922923c41,APPROVED,2021-11-29 17:53:52.821000,2021-11-29 17:58:24.653000,271.832,20,51,0,100,2021-11-29 18:21:34.362000,68706EF5,South Africa,South Africa,Other,English,South Africa,Female,Yes
61a513f186e2ab3017ee587b,5fd133fc694ea30caa753f3f,APPROVED,2021-11-29 17:55:02.656000,2021-11-29 17:58:11.536000,188.88,22,79,2,99,2021-11-29 18:21:34.242000,68706EF5,South Africa,South Africa,Part-Time,English,South Africa,Female,DATA EXPIRED
61a5140a18253724072765ca,6061e7b060a94ad7bcabc3a5,APPROVED,2021-11-29 17:55:26.104000,2021-11-29 17:58:18.450000,172.346,48,86,2,96,2021-11-29 18:21:34.128000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a514114fb7a74c02aa69a6,5ca231bf6a488a00011ae9cb,APPROVED,2021-11-29 17:55:32.265000,2021-11-29 17:58:14.627000,162.362,21,171,2,100,2021-11-29 18:21:34.032000,68706EF5,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,Yes
61a51419e0fb82df3b3ff207,60d8f55069aaf39b7c14ad19,APPROVED,2021-11-29 17:55:48.344000,2021-11-29 17:58:28.253000,159.909,31,125,0,100,2021-11-29 18:21:33.928000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a5145308d5a067ac7ef24c,610af4e2f955f1ab5c2fccba,APPROVED,2021-11-29 17:56:37.646000,2021-11-29 17:59:36.034000,178.388,28,71,0,100,2021-11-29 18:21:33.834000,68706EF5,Canada,Canada,Part-Time,English,Canada,Male,No
61a514777600216027f8871e,5e52ba5431127d2e13d5c882,APPROVED,2021-11-29 17:57:17.078000,2021-11-29 18:00:14.371000,177.293,30,152,1,100,2021-11-29 18:21:33.736000,68706EF5,Germany,United Kingdom,Full-Time,English,United Kingdom,Male,Yes
61a5147797b4bb54826c20ee,55cf7e8b34e906000ee56498,APPROVED,2021-11-29 17:57:21.123000,2021-11-29 18:02:42.123000,321.0,44,1003,2,100,2021-11-29 18:21:33.494000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a5147e6db10f249a7a9a64,60cd0ca27459afeb46a86b69,APPROVED,2021-11-29 17:57:20.223000,2021-11-29 18:01:05.901000,225.678,26,56,0,100,2021-11-29 18:21:33.615000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a5147f8a25e4b24627568e,5c193c721a7b3e0001bb298a,RETURNED,2021-11-29 17:57:23.165000,,2298.193507,49,662,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a51493630c61da7b6db97d,5f984a1468d96a0e4f60cd36,APPROVED,2021-11-29 17:57:41.124000,2021-11-29 18:01:11.807000,210.683,59,200,0,100,2021-11-29 18:21:33.405000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a514949e46f0417fa77540,5e1b307333e83535d72af1e5,APPROVED,2021-11-29 18:01:22.613000,2021-11-29 18:06:01.682000,279.069,27,323,1,100,2021-11-29 18:21:31.074000,68706EF5,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61a514a715dc75536a200961,6146ffb5ad445e0ab13ffcd7,APPROVED,2021-11-29 17:58:58.481000,2021-11-29 18:02:34.912000,216.431,39,78,2,96,2021-11-29 18:21:33.127000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61a514c418253724072765e0,60fd321fe6295f528962da84,APPROVED,2021-11-29 17:58:31.657000,2021-11-29 18:01:50.498000,198.841,19,66,2,99,2021-11-29 18:21:33.310000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
61a514c7d829dae0b9b34c73,60fc81b147440ec6ce5ebca4,APPROVED,2021-11-29 17:58:33.379000,2021-11-29 18:00:55.648000,142.269,19,128,1,99,2021-11-29 18:21:33.220000,68706EF5,United States,United States,DATA EXPIRED,English,United States,Female,Yes
61a514e54d8f4197e5efa6cf,60da7d848d3fd85cfde5dd00,APPROVED,2021-11-29 17:59:01.237000,2021-11-29 18:00:43.362000,102.125,40,39,0,100,2021-11-29 18:21:33.029000,68706EF5,Canada,Canada,Full-Time,English,Canada,Male,No
61a514e74b0f00e949484a95,5d36af6e889109001ae67e23,APPROVED,2021-11-29 17:59:05.639000,2021-11-29 18:00:38.643000,93.004,23,396,2,100,2021-11-29 18:21:32.846000,68706EF5,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61a514e8bcab81ce0b35e83f,5701793b917228000f8dc974,APPROVED,2021-11-29 17:59:04.789000,2021-11-29 18:05:08.137000,363.348,50,497,2,100,2021-11-29 18:21:32.928000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61a514e905672039727f7517,60be5cb81de91fc787d3c59c,APPROVED,2021-11-29 17:59:08.404000,2021-11-29 18:01:13.924000,125.52,23,107,4,98,2021-11-29 18:21:32.751000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a514ea667a9517b27714b9,5c2ebf3e626018000134986f,APPROVED,2021-11-29 17:59:09.270000,2021-11-29 18:02:34.624000,205.354,39,497,2,100,2021-11-29 18:21:32.632000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a514f2c8efed11efce6e17,612d68e3c29fe8ce86a5d841,APPROVED,2021-11-29 17:59:16.494000,2021-11-29 18:04:07.952000,291.458,25,115,0,100,2021-11-29 18:21:32.516000,68706EF5,United States,United States,Full-Time,English,United States,Female,Yes
61a51503314a96ac8f1e11ad,61484b1caba5f192dfd4b547,APPROVED,2021-11-29 18:03:14.108000,2021-11-29 18:10:34.486000,440.378,54,101,0,100,2021-11-29 18:21:29.282000,68706EF5,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61a515058bc45dc0ca85a13f,61143c46fbc05c36939dce2d,APPROVED,2021-11-29 17:59:36.235000,2021-11-29 18:01:34.126000,117.891,21,120,2,99,2021-11-29 18:21:32.400000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a51506145a9377c321868b,60932c952a50baf0b6614af9,APPROVED,2021-11-29 17:59:42.226000,2021-11-29 18:05:46.421000,364.195,37,86,0,100,2021-11-29 18:21:32.217000,68706EF5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
61a51508e99f77917ccd4931,60dca45abca3eb229bafdedf,APPROVED,2021-11-29 17:59:40.723000,2021-11-29 18:01:33.945000,113.222,33,82,1,100,2021-11-29 18:21:32.313000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61a5151fe2a096f88b3636d8,61749f788945674b295239b9,RETURNED,2021-11-29 18:00:00.721000,,2141.051266,28,83,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a5152775e4147e6792ec30,5b101f7830d562000155a139,APPROVED,2021-11-29 18:00:10.459000,2021-11-29 18:03:26.174000,195.715,43,1810,0,100,2021-11-29 18:21:32.118000,68706EF5,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61a5152e6b117960ca80591d,615b72a19f06af41dfa354ff,RETURNED,2021-11-29 18:00:33.178000,,2108.65198,43,72,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a51532c67f745484a0f66e,5fa685105ff13f2b95e14fc9,APPROVED,2021-11-29 18:00:18.489000,2021-11-29 18:03:43.498000,205.009,44,221,0,100,2021-11-29 18:21:32.023000,68706EF5,United Kingdom,Spain,Other,English,United Kingdom,Male,No
61a515336b117960ca80591e,60b7ed35fdba3e674240d09a,APPROVED,2021-11-29 18:00:38.132000,2021-11-29 18:08:44.413000,486.281,20,63,0,100,2021-11-29 18:21:31.751000,68706EF5,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,Yes
61a5153a75e4147e6792ec32,5c76474e3348af00159191e4,APPROVED,2021-11-29 18:00:33.337000,2021-11-29 18:03:59.389000,206.052,37,397,3,99,2021-11-29 18:21:31.920000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a5153e08d5a067ac7ef25c,5c48a6ba30525a000103c068,APPROVED,2021-11-29 18:00:33.593000,2021-11-29 18:02:48.599000,135.006,29,183,2,100,2021-11-29 18:21:31.837000,68706EF5,United Kingdom,United Kingdom,Part-Time,English,Ireland,Female,Yes
61a515498cd9adbfb1a9d420,5e36f262185582000ae281b4,APPROVED,2021-11-29 18:00:48.243000,2021-11-29 18:04:18.016000,209.773,55,506,3,100,2021-11-29 18:21:31.646000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61a51554460048436f76a64b,5f7e700665a5f514520a6f80,APPROVED,2021-11-29 18:00:56.752000,2021-11-29 18:07:27.062000,390.31,27,106,0,100,2021-11-29 18:21:31.564000,68706EF5,Nepal,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED
61a515631ad500e2bea7b6bb,5bee2c1fc998f000011f8095,APPROVED,2021-11-29 18:01:18.267000,2021-11-29 18:05:58.334000,280.067,,57,0,100,2021-11-29 18:21:31.302000,68706EF5,Canada,Canada,DATA EXPIRED,English,Canada,Female,No
61a515644122b718e93ebc8c,6111560ecba47c2bcc89a17e,APPROVED,2021-11-29 18:01:14.173000,2021-11-29 18:05:12.788000,238.615,30,90,0,100,2021-11-29 18:21:31.391000,68706EF5,Canada,Canada,Full-Time,English,Canada,Female,No
61a515649bc63c7f6fa5cae7,609ad3f58353faebe1825af6,RETURNED,2021-11-29 18:01:14.351000,,2067.763782,19,80,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61a5156777db4a93bd1340ab,5b86f3cb5470830001b74bbc,APPROVED,2021-11-29 18:01:13.342000,2021-11-29 18:04:02.218000,168.876,38,750,2,100,2021-11-29 18:21:31.477000,68706EF5,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61a515711cdbaa9ff2d5e8c8,5d3f5b4e738a5b001795f529,APPROVED,2021-11-29 18:01:21.975000,2021-11-29 18:05:08.612000,226.637,23,340,3,99,2021-11-29 18:21:31.205000,68706EF5,Ireland,Ireland,Other,English,Ireland,Female,Yes
61a515788f0972cf4a230768,60ff33ae5d20226b12adc61c,APPROVED,2021-11-29 18:02:08.456000,2021-11-29 18:05:31.834000,203.378,23,68,0,100,2021-11-29 18:21:30.321000,68706EF5,United States,United States,Part-Time,English,United States,Female,Yes
61a51579509b51383968d160,5ecb871d027d970009dc05d2,APPROVED,2021-11-29 18:01:33.267000,2021-11-29 18:09:00.820000,447.553,38,419,6,99,2021-11-29 18:21:30.983000,68706EF5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,DATA EXPIRED
61a5157c1ad500e2bea7b6bc,6173a7aa2d3f11e56d9f96f2,APPROVED,2021-11-29 18:03:26.861000,2021-11-29 18:07:37.558000,250.697,27,79,0,100,2021-11-29 18:21:29.022000,68706EF5,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
61a51583afabd25eed38095b,6038f1967ebc2732a7d48e04,APPROVED,2021-11-29 18:01:42.640000,2021-11-29 18:06:37.765000,295.125,31,138,3,98,2021-11-29 18:21:30.890000,68706EF5,United Kingdom,Austria,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
